"","ReleaseDate","SurveyId","MaxAgeWomen","FieldworkStart","MinAgeMen","ImplementingOrg","SurveyCharacteristicIds","SurveyType","SurveyYearLabel","IndicatorData","MinAgeWomen","SurveyYear","FieldworkEnd","DHS_CountryCode","NumberOfSamplePoints","CountryName","NumberOfWomen","SubregionName","MaxAgeMen","SurveyNum","SurveyStatus","NumberOfFacilities","UniverseOfMen","RegionName","UniverseOfWomen","Footnotes","PublicationDate","NumberofHouseholds","NumberOfMen"
"68","2006-07-01","CG2005DHS",49,"2005-07-01","15","Centre National de la Statistique et des Etudes Economiques","57, 16, 59, 101, 24, 21, 15, 10, 31, 14, 11, 20, 13, 1, 41, 33, 3, 79","DHS","2005",1,15,"2005","2005-11-01","CG","225","Congo",7051,"Middle Africa","59",267,"Completed","","All Men","Sub-Saharan Africa","All Women","","2006-07-01",5879,"3146"
"69","2010-04-22","CG2009AIS",49,"2009-03-01","15","Centre National de la Statistique et des Etudes Economiques","24, 21, 23, 11, 59, 101, 79, 104","AIS","2009",1,15,"2009","2009-06-01","CG","241","Congo",6550,"Middle Africa","49",370,"Completed","","All Men","Sub-Saharan Africa","All Women","","2009-11-01",7096,"5863"
"70","2013-10-15","CG2011DHS",49,"2011-09-01","15","Centre National de la Statistique et des Études Économiques (CNSEE) (Ministère de l’Économie, du Plan, de l’Aménagement du Territoire et de l’Intégration)","101, 16, 31, 32, 39, 14, 57, 20, 34, 13, 1, 3, 59, 69, 41, 10, 67, 24, 21, 11, 5, 79, 80","DHS","2011-12",1,15,"2011","2012-02-01","CG","384","Congo",10819,"Middle Africa","59",388,"Completed","","All Men","Sub-Saharan Africa","All Women","","2012-12-01",11632,"5145"
"71","2008-08-29","CD2007DHS",49,"2007-01-01","15","Under the direction of the Ministry of Planning","37, 34, 6, 57, 79, 94, 41, 59, 101, 24, 21, 23, 10, 31, 32, 26, 14, 11, 20, 13, 5, 1, 39, 104, 33, 3","DHS","2007",1,15,"2007","2007-08-01","CD","400","Congo Democratic Republic",9995,"Middle Africa","59",239,"Completed","","All Men","Sub-Saharan Africa","All Women","","2008-08-01",8886,"4757"
"72","2014-10-03","CD2013DHS",49,"2013-08-01","15","Ministry of Planning","15, 41, 23, 10, 6, 1, 11, 17, 79, 31, 67, 32, 26, 24, 21, 14, 57, 20, 34, 5, 3, 87, 101, 69, 38, 33, 90, 89, 80, 85, 96, 104","DHS","2013-14",1,15,"2013","2014-02-01","CD","540","Congo Democratic Republic",18827,"Middle Africa","59",421,"Completed","","All Men","Sub-Saharan Africa","All Women","CDOB61FL.ZIP = Polio Serology Data","2014-09-01",18171,"8656"
"73","1994-12-01","CI1994DHS",49,"1994-06-01","15","Institut National de la Statistique (INS)","1, 2, 11, 21, 26, 10, 101","DHS","1994",1,15,"1994","1994-11-01","CI","246","Cote d'Ivoire",8099,"Western Africa","59",62,"Completed","245","All Men","Sub-Saharan Africa","All Women","","1994-12-01",5935,"2552"
"74","2001-12-01","CI1998DHS",49,"1998-09-01","15","Institut National de la Statistique (INS)","21, 24, 10, 11, 26, 4, 101","DHS","1998-99",1,15,"1998","1999-03-01","CI","140","Cote d'Ivoire",3040,"Western Africa","59",106,"Completed","","All Men","Sub-Saharan Africa","All Women","","2001-12-01",2122,"886"
"75","2006-12-01","CI2005AIS",49,"2005-08-01","15","Institut National de la Statistique (INS)","24, 21, 23, 1, 11, 53, 57, 31, 3, 59, 101, 88, 37, 6, 4, 33, 104","AIS","2005",1,15,"2005","2005-10-01","CI","253","Cote d'Ivoire",5183,"Western Africa","49",231,"Completed","","All Men","Sub-Saharan Africa","All Women","","2006-12-01",4368,"4503"
"76","2013-09-12","CI2012DHS",49,"2011-12-01","15","Ministère de la Santé et de la Lutte contre le Sida (MSLS), Institut National de la Statistique(INS) ","6, 89, 10, 41, 39, 31, 5, 79, 32, 14, 34, 33, 57, 20, 17, 13, 3, 59, 4, 26, 16, 69, 75, 76, 11, 101, 1, 24, 21, 23, 90, 104","DHS","2011-12",1,15,"2012","2012-05-01","CI","352","Cote d'Ivoire",10060,"Western Africa","59",311,"Completed","","All Men","Sub-Saharan Africa","All Women","A man’s survey will be carried out in one half of the sample, where HIV, anemia and parasitemia testing will also be part of the DHS.","2013-06-01",9686,"5135"
"77","2023-09-14","CI2021DHS",49,"2021-09-01","15","Institut Nationale de la Statistique (INS)","15, 70, 26, 16, 33, 31, 22, 76, 79, 92, 69, 24, 21, 14, 57, 59, 11, 20, 60, 30, 34, 3, 39, 90, 124, 134, 68, 75, 63, 72, 32, 86, 94, 41, 67, 80, 89, 5, 6, 1, 13, 10, 108","DHS","2021",1,15,"2021","2021-12-01","CI","539","Cote d'Ivoire",14877,"Western Africa","59",559,"Completed","","All Men","Sub-Saharan Africa","All Women","","2023-09-14",14766,"7591"
"78","1987-12-01","DR1986DHS",49,"1986-09-01","","Consejo Nacional de Población y Familia","10, 2, 79, 101","DHS","1986",1,15,"1986","1986-12-01","DR","","Dominican Republic",7649,"Caribbean","",5,"Completed","602","","Latin America & Caribbean","All Women","","1987-12-01",7152,""
"79","1991-12-01","DR1991DHS",49,"1991-07-01","","Asociación Dominicana Pro-Bienestar de la Familia","2, 22, 10, 21, 17, 60, 79, 101, 74","DHS","1991",1,15,"1991","1991-11-01","DR","","Dominican Republic",7320,"Caribbean","",37,"Completed","396","","Latin America & Caribbean","All Women","","1991-12-01",7144,""
"80","1997-06-01","DR1996DHS",49,"1996-09-01","15","Centro de Estudios Sociodemograficos (CESDEM)/PROFAMILIA","21, 22, 24, 1, 79, 101, 10, 69, 14, 11, 38, 5, 60","DHS","1996",1,15,"1996","1996-12-01","DR","425","Dominican Republic",8422,"Caribbean","64",92,"Completed","","All Men","Latin America & Caribbean","All Women","","1997-06-01",8831,"2279"
"81","2001-09-01","DR1999DHS",49,"1999-08-01","15","Centro de Estudios Sociodemograficos (CESDEM)","3, 6, 11, 21, 22, 101, 24","DHS","1999",1,15,"1999","1999-12-01","DR","","Dominican Republic",1286,"Caribbean","64",142,"Completed","","All Men","Latin America & Caribbean","All Women","","2001-09-01",1381,"1112"
"82","2003-10-01","DR2002DHS",49,"2002-07-01","15","CESDEM, Centro de Estudios Sociodemograficos","24, 36, 3, 23, 21, 10, 11, 32, 20, 33, 101, 69, 22, 6, 1, 79","DHS","2002",1,15,"2002","2002-12-01","DR","1120","Dominican Republic",23384,"Caribbean","59",210,"Completed","","All Men","Latin America & Caribbean","All Women","There is no possibility of linking the HIV Test data to the survey data.","2003-10-01",27135,"2833"
"83","2008-06-18","DR2007DHS",49,"2007-03-01","15","Center for Demographic Studies  (CESDEM)","24, 21, 23, 1, 10, 20, 6, 38, 36, 11, 34, 75, 76, 101, 69, 60, 26, 59, 33, 31, 13, 3, 79, 104","DHS","2007",1,15,"2007","2007-08-01","DR","1428","Dominican Republic",27195,"Caribbean","59",291,"Completed","","All Men","Latin America & Caribbean","All Women","","2008-05-01",32431,"27975"
"84","2014-10-22","DR2013DHS",49,"2013-07-01","15","Centro de Estudios Sociales y Demográficos (CESDEM)","38, 79, 10, 24, 21, 23, 11, 75, 76, 78, 101, 26, 87, 33, 68, 63, 69, 34, 36, 6, 60, 3, 104","DHS","2013",1,15,"2013","2013-10-01","DR","524","Dominican Republic",9372,"Caribbean","59",439,"Completed","","All Men","Latin America & Caribbean","All Women","","2014-10-01",11464,"10306"
"85","1988-04-01","EC1987DHS",49,"1987-01-01","","Centro de Estudios de Población y Paternidad Responsable","2, 17, 101","DHS","1987",1,15,"1987","1987-03-01","EC","","Ecuador",4713,"South America","",15,"Completed","196","","Latin America & Caribbean","All Women","","1988-04-01",4578,""
"86","1989-10-01","EG1988DHS",49,"1988-10-01","","National Population Council","1, 17, 2, 3, 5, 10, 61, 79, 101","DHS","1988",1,15,"1988","1989-01-01","EG","456","Egypt",8911,"North Africa","",24,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","1989-10-01",9805,""
"87","1993-11-01","EG1992DHS",49,"1992-11-01","","National Population Council","12, 22, 79, 60, 26, 11, 10, 17, 101","DHS","1992",1,15,"1992","1993-02-01","EG","546","Egypt",9864,"North Africa","",45,"Completed","","Husbands","North Africa/West Asia/Europe","Ever Married Women","","1993-11-01",10760,"2466"
"88","1996-09-01","EG1995DHS",49,"1995-11-01","","National Population Council","3, 4, 22, 16, 32, 26, 10, 101, 6, 5, 79","DHS","1995",1,15,"1995","1996-01-01","EG","934","Egypt",14779,"North Africa","",71,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","1996-09-01",15567,""
"89","2001-01-01","EG2000DHS",49,"2000-02-01","","Nat. Population Council","4, 22, 15, 13, 3, 34, 26, 32, 20, 41, 79, 53, 101, 14, 10, 5","DHS","2000",1,15,"2000","2000-04-01","EG","1000","Egypt",15573,"North Africa","",145,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","2001-01-01",16957,""
"90","2004-01-01","EG2003DHS",49,"2003-05-01","","El-Zanaty and Associates","22, 79, 101, 10, 14, 21, 20, 4, 26","DHS","2003",1,15,"2003","2003-06-01","EG","490","Egypt",9159,"North Africa","",240,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","2004-01-01",10089,""
"91","2006-02-01","EG2005DHS",49,"2005-04-01","","Ministry of Health and Population, National Population Council, El-Zanaty and Associates","36, 4, 34, 41, 101, 21, 15, 10, 22, 26, 14, 5, 69, 53, 6, 3, 79","DHS","2005",1,15,"2005","2005-06-01","EG","682","Egypt",19474,"North Africa","",272,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","2006-02-01",21972,""
"92","2009-06-19","EG2008DHS",49,"2008-03-01","","Ministry of Health and Population/El-Zanaty and Associates","58, 13, 14, 32, 3, 19, 86, 21, 34, 4, 17, 43, 10, 22, 38, 101, 69, 20, 26, 63","DHS","2008",1,15,"2008","2008-06-01","EG","610","Egypt",16527,"North Africa","",294,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","Health Issues Subsample: Data Type: Household Raw & Individual Raw - All women age 15-59 interviewed: 6578, All men age 15-59 interviewed: 5430, Households interviewed: 4662.  Sub-survey on health for men and women: Data Type: Other Data","2009-03-01",18968,""
"93","2015-05-11","EG2014DHS",49,"2014-04-01","","Ministry of Health and Population, National Population Council, El-Zanaty and Associates","16, 22, 10, 32, 4, 26, 85, 31, 14, 34, 67, 5, 6, 69, 101, 20, 17, 13, 15, 41, 33, 80, 3, 24, 21","DHS","2014",1,15,"2014","2014-06-01","EG","904","Egypt",21762,"North Africa","",397,"Completed","","","North Africa/West Asia/Europe","Ever Married Women","","2015-05-01",28175,""
"94","1987-09-01","ES1985DHS",49,"1985-05-01","","Associación Demográfica Salvadoreña","20, 17, 79, 101","DHS","1985",1,15,"1985","1985-07-01","ES","175","El Salvador",5207,"Central America","",1,"Completed","","","Latin America & Caribbean","All Women","","1987-09-01",4922,""
"95","1997-03-01","ER1995DHS",49,"1995-09-01","15","Nat. Statistics Office","1, 2, 4, 10, 11, 21, 24, 79, 101, 3","DHS","1995",1,15,"1995","1996-01-01","ER","","Eritrea",5054,"Eastern Africa","59",73,"Completed","","All Men","Sub-Saharan Africa","All Women","","1997-03-01",5469,"1114"
"96","2003-05-01","ER2002DHS",49,"2002-03-01","","National Statistics and Evaluation Office","4, 13, 57, 17, 10, 14, 79, 101, 5, 3, 60, 20, 21, 26","DHS","2002",1,15,"2002","2002-07-01","ER","368","Eritrea",8754,"Eastern Africa","",170,"Completed","","","Sub-Saharan Africa","All Women","","2003-05-01",9389,""
"97","2008-06-10","SZ2006DHS",49,"2006-07-01","15","Central Statistical Office","81, 33, 36, 53, 79, 69, 41, 24, 21, 23, 15, 10, 31, 22, 26, 14, 11, 20, 17, 13, 5, 1, 3, 88, 101, 34, 57, 37, 104, 59, 4","DHS","2006-07",1,15,"2006","2007-02-01","SZ","275","Eswatini",4987,"Southern Africa","49",259,"Completed","","All Men","Sub-Saharan Africa","All Women","Changed country name from Swaziland to Eswatini, Feb 2019.","2008-05-01",4843,"4156"
"98","2001-05-02","ET2000DHS",49,"2000-02-01","15","Central Statistical Authority","1, 20, 10, 11, 21, 24, 4, 26, 79, 101, 3, 14, 57","DHS","2000",1,15,"2000","2000-05-01","ET","539","Ethiopia",15367,"Eastern Africa","59",147,"Completed","","All Men","Sub-Saharan Africa","All Women","","2001-05-02",14072,"2607"
"99","2006-09-01","ET2005DHS",49,"2005-04-01","15","Central Statistical Agency, Population and Housing Census Commissions Office (PHCCO)","33, 36, 57, 59, 34, 79, 41, 101, 24, 21, 23, 15, 10, 31, 22, 26, 14, 11, 20, 17, 13, 4, 1, 39, 3, 104","DHS","2005",1,15,"2005","2005-08-01","ET","540","Ethiopia",14070,"Eastern Africa","59",248,"Completed","","All Men","Sub-Saharan Africa","All Women","","2006-09-01",13721,"6033"
"100","2012-04-05","ET2011DHS",49,"2010-12-01","15","Central Statistical Agency (CSA)","23, 41, 10, 33, 22, 24, 21, 14, 20, 36, 34, 5, 1, 17, 59, 13, 11, 79, 101, 69, 26, 3, 104","DHS","2011",1,15,"2011","2011-05-01","ET","615","Ethiopia",16515,"Eastern Africa","59",359,"Completed","","All Men","Sub-Saharan Africa","All Women","","2012-03-01",16702,"14110"
"101","2017-08-15","ET2016DHS",49,"2016-01-01","15","Central Statistical Agency (CSA)","91, 33, 15, 41, 10, 31, 22, 39, 26, 69, 24, 21, 14, 59, 11, 20, 17, 34, 13, 6, 4, 1, 60, 3, 70, 23, 79, 104, 92, 93","DHS","2016",1,15,"2016","2016-06-01","ET","645","Ethiopia",15683,"Eastern Africa","59",478,"Completed","","All Men","Sub-Saharan Africa","All Women","","2017-07-01",16650,"12688"
"102","2021-05-04","ET2019DHS",49,"2019-03-01","","Ethiopia Public Health Institute","70, 10, 92, 26, 93","DHS","2019",1,15,"2019","2019-06-01","ET","305","Ethiopia",8885,"Eastern Africa","",551,"Completed","","","Sub-Saharan Africa","All Women","This is a mini-DHS","2021-05-15",8663,""
"103","2001-06-01","GA2000DHS",49,"2000-07-01","15","Direction Générale de la Stat. des Etudes Economiques","10, 11, 21, 24, 16, 2, 31, 101, 3, 1, 14, 79","DHS","2000",1,15,"2000","2001-01-01","GA","","Gabon",6183,"Middle Africa","59",148,"Completed","249","All Men","Sub-Saharan Africa","All Women","","2001-06-01",6203,"2004"
"104","2013-07-09","GA2012DHS",49,"2012-01-01","15","Direction Générale des Statistiques (DGS) ","23, 6, 33, 24, 21, 14, 34, 13, 5, 3, 41, 16, 10, 26, 69, 101, 1, 11, 32, 31, 57, 104, 20, 59, 79","DHS","2012",1,15,"2012","2012-05-01","GA","336","Gabon",8422,"Middle Africa","59",402,"Completed","","All Men","Sub-Saharan Africa","All Women","","2013-04-01",9755,"5654"
"105","2023-07-12","GA2019DHS",64,"2020-01-01","15","Direction Générale de la Statistique  ","92, 70, 104, 33, 31, 22, 76, 79, 69, 24, 21, 14, 57, 59, 20, 60, 34, 3, 26, 16, 41, 10, 43, 67, 47, 23, 89, 11, 86, 5, 6, 1, 126","DHS","2019-21",1,15,"2019","2021-10-01","GA","390","Gabon",11043,"Middle Africa","64",546,"Completed","","All Men","Sub-Saharan Africa","All Women","","2023-06-15",11781,"6894"
"106","2015-05-04","GM2013DHS",49,"2013-02-01","15","The Gambia Bureau of Statistics (GBOS)","90, 89, 23, 41, 10, 14, 11, 69, 22, 17, 15, 57, 79, 34, 20, 31, 101, 85, 104, 33, 24, 21, 6, 4, 1, 3, 13, 32","DHS","2013",1,15,"2013","2013-04-01","GM","281","Gambia",10233,"Western Africa","59",425,"Completed","","All Men","Sub-Saharan Africa","All Women","","2014-09-01",6217,"3821"
"107","2021-05-18","GM2019DHS",49,"2019-11-01","15","The Gambia Bureau of Statistics (GBOS)","14, 34, 68, 63, 10, 41, 70, 11, 6, 4, 1, 24, 20, 60, 92, 26, 69, 3, 108, 89, 39, 86, 31, 22, 79, 21, 57, 94, 13","DHS","2019-20",1,15,"2019","2020-03-01","GM","281","Gambia",11865,"Western Africa","59",555,"Completed","","All Men","Sub-Saharan Africa","All Women","","2021-03-15",6549,"4636"
"108","1989-09-01","GH1988DHS",49,"1988-02-01","","Ghana Statistical Service","10, 11, 94, 14, 12, 101, 3, 74","DHS","1988",1,15,"1988","1988-06-01","GH","150","Ghana",4488,"Western Africa","",25,"Completed","","Husbands","Sub-Saharan Africa","All Women","","1989-09-01",4406,"943"
"109","1994-12-01","GH1993DHS",49,"1993-09-01","15","Ghana Statistical Service","10, 11, 21, 60, 1, 74, 20, 17, 5, 85, 101, 26","DHS","1993",1,15,"1993","1994-02-01","GH","400","Ghana",4562,"Western Africa","59",58,"Completed","","All Men","Sub-Saharan Africa","All Women","","1994-12-01",5822,"1302"
"110","1999-10-01","GH1998DHS",49,"1998-11-01","15","Ghana Statistical Service","21, 24, 11, 10, 26, 101, 74, 3","DHS","1998",1,15,"1998","1999-02-01","GH","400","Ghana",4843,"Western Africa","59",151,"Completed","","All Men","Sub-Saharan Africa","All Women","","1999-10-01",6003,"1546"
"111","2004-09-01","GH2003DHS",49,"2003-07-01","15","Ghana Statistical Service","24, 57, 4, 34, 59, 41, 21, 15, 31, 26, 11, 79, 101, 69, 14, 33, 23, 10, 22, 12, 20, 3, 104","DHS","2003",1,15,"2003","2003-10-01","GH","412","Ghana",5691,"Western Africa","59",235,"Completed","","All Men","Sub-Saharan Africa","All Women","","2004-09-01",6251,"5015"
"112","2009-10-01","GH2008DHS",49,"2008-09-01","15","Ghana Statistical Services/Ministry of Health","9, 10, 33, 61, 41, 11, 36, 17, 15, 20, 3, 31, 101, 69, 57, 22, 26, 59, 8, 24, 21, 6, 34, 79","DHS","2008",1,15,"2008","2008-11-01","GH","412","Ghana",4916,"Western Africa","59",301,"Completed","","All Men","Sub-Saharan Africa","All Women","","2009-09-01",11778,"4568"
"113","2015-10-15","GH2014DHS",49,"2014-09-01","15","Ghana Statistical Service (GSS)","59, 22, 23, 41, 10, 43, 68, 69, 11, 36, 79, 14, 32, 57, 89, 3, 78, 26, 80, 90, 104","DHS","2014",1,15,"2014","2014-12-01","GH","427","Ghana",9396,"Western Africa","59",437,"Completed","","All Men","Sub-Saharan Africa","All Women","","2015-10-01",11835,"4388"
"114","2017-07-27","GH2016MIS",49,"2016-10-01","","The Ghana Statistical Services","89, 92, 41, 70, 15, 57","MIS","2016",1,15,"2016","2016-12-01","GH","200","Ghana",5150,"Western Africa","",516,"Completed","","","Sub-Saharan Africa","All Women","","2017-05-01",5841,""
"115","2020-07-28","GH2019MIS",49,"2019-09-01","","Ghana Statistical Service and National Public Health and Reference Laboratory in Accra","90, 26, 106, 57, 124, 70, 89, 92, 41, 79, 69","MIS","2019",1,15,"2019","2019-11-01","GH","200","Ghana",5181,"Western Africa","",557,"Completed","","","Sub-Saharan Africa","All Women","","2020-07-01",5799,""
"116","2024-01-18","GH2022DHS",49,"2022-10-01","15","Ghana Statistical Service, Ghana Health Services(National Public Health Reference Lab), and QC lab(TBD possibly Noguchi)","16, 33, 31, 22, 70, 76, 79, 92, 26, 69, 24, 21, 14, 57, 59, 11, 20, 60, 30, 34, 3, 41, 10, 134, 6, 124, 90, 89, 106","DHS","2022",1,15,"2022","2023-01-01","GH","618","Ghana",15014,"Western Africa","59",598,"Completed","","All Men","Sub-Saharan Africa","All Women","","2024-01-15",17933,"7044"
"117","1989-05-01","GU1987DHS",44,"1987-09-01","","Instituto  de Nutrición de Centro Americá y Panamá","2, 10, 16, 101, 33","DHS","1987",1,15,"1987","1987-12-01","GU","","Guatemala",5160,"Central America","",9,"Completed","185","","Latin America & Caribbean","All Women","Data collected for women 15-44","1989-05-01",5459,""
"118","1996-10-01","GU1995DHS",49,"1995-06-01","","Instituto Nacional de Estadistica","21, 22, 24, 38, 14, 20, 17, 1, 10, 69, 101, 3","DHS","1995",1,15,"1995","1995-12-01","GU","","Guatemala",12403,"Central America","",70,"Completed","","","Latin America & Caribbean","All Women","","1996-10-01",11297,""
"119","1999-07-01","GU1999DHS",49,"1998-11-01","","Instituto Nacional de Estadistica","17, 41, 94, 22, 76, 101, 15, 10, 14, 13, 60, 3, 79","DHS","1998-99",1,15,"1999","1999-05-01","GU","","Guatemala",6021,"Central America","",152,"Completed","","","Latin America & Caribbean","All Women","","1999-07-01",5587,""
"120","2017-02-24","GU2015DHS",49,"2014-10-01","15","Instituto de Nutrición de Centro América y Panamá (INCAP) ","22, 41, 24, 21, 6, 94, 10, 11, 79, 101, 1, 26, 3","DHS","2014-15",1,15,"2015","2015-06-01","GU","864","Guatemala",25914,"Central America","59",440,"Completed","","All Men","Latin America & Caribbean","All Women","A couples dataset could not be generated since the household line number of the wife/partner (used to create variable MV034 and to link the man with his wife/partner) was not recorded in the Man’s Questionnaire.","2017-01-01",21383,"11145"
"121","2000-05-01","GN1999DHS",49,"1999-05-01","15","Direction National de la Statistique et de l'Information","1, 2, 4, 11, 21, 24, 10, 57, 8, 26, 101, 14","DHS","1999",1,15,"1999","1999-07-01","GN","293","Guinea",6753,"Western Africa","59",154,"Completed","293","All Men","Sub-Saharan Africa","All Women","","2000-05-01",5090,"1980"
"122","2006-04-01","GN2005DHS",49,"2005-02-01","15","Direction Nationale de la Statistique","24, 21, 23, 10, 4, 1, 26, 57, 59, 34, 31, 22, 14, 20, 17, 13, 3, 41, 11, 15, 101, 104, 33, 79","DHS","2005",1,15,"2005","2005-06-01","GN","295","Guinea",7954,"Western Africa","59",249,"Completed","","All Men","Sub-Saharan Africa","All Women","","2006-04-01",6282,"3174"
"123","2014-01-30","GN2012DHS",49,"2012-06-01","15","Institut National de la Statistique","41, 23, 101, 10, 31, 32, 39, 26, 24, 21, 14, 57, 59, 11, 20, 37, 34, 13, 5, 4, 1, 3, 90, 89, 104, 79","DHS","2012",1,15,"2012","2012-10-01","GN","300","Guinea",9142,"Western Africa","59",391,"Completed","","All Men","Sub-Saharan Africa","All Women","","2013-11-01",7109,"3782"
"124","2019-10-30","GN2018DHS",49,"2018-02-01","15","Institut National de la Statistique (INS)","70, 39, 26, 38, 24, 21, 23, 11, 4, 41, 10, 67, 6, 92, 31, 79, 69, 34, 91, 104, 22, 17","DHS","2018",1,15,"2018","2018-06-01","GN","400","Guinea",8000,"Western Africa","59",539,"Completed","","All Men","Sub-Saharan Africa","All Women","","2019-07-01",8200,"5000"
"125","2022-03-29","GN2021MIS",49,"2021-07-01","","Guinea Statistical Institute and National Reference Laboratory (LNR)","70, 41, 92, 26, 94, 79, 90, 89, 57, 124","MIS","2021",1,15,"2021","2021-09-01","GN","167","Guinea",5912,"Western Africa","",571,"Completed","169","","Sub-Saharan Africa","All Women","","2022-03-15",3985,""
"126","2006-08-01","GY2005AIS",49,"2005-06-01","15","Guyana Responsible Parenthood Association","24, 21, 31, 36, 53, 57, 79, 11, 101, 33","AIS","2005",1,15,"2005","2005-09-01","GY","120","Guyana",2425,"South America","49",243,"Completed","","All Men","Latin America & Caribbean","All Women","","2006-08-01",2608,"1875"
"127","2011-07-08","GY2009DHS",49,"2009-03-01","15","Ministry of Health (MOH/Bureau of Statistisc)","33, 15, 41, 10, 31, 22, 32, 26, 24, 21, 14, 57, 11, 20, 17, 36, 34, 13, 3, 53, 59, 93, 79, 69, 101","DHS","2009",1,15,"2009","2009-07-01","GY","330","Guyana",4996,"South America","49",309,"Completed","","All Men","Latin America & Caribbean","All Women","","2010-10-01",5632,"3522"
"128","1995-12-01","HT1994DHS",49,"1994-07-01","15","Inst. Haïtian de l’Enfance","10, 61, 2, 11, 21, 24, 16, 101","DHS","1994-95",1,15,"1994","1995-01-01","HT","","Haiti",5356,"Caribbean","59",69,"Completed","172","All Men","Latin America & Caribbean","All Women","","1995-12-01",4818,"1610"
"129","2001-06-01","HT2000DHS",49,"2000-02-01","15","Inst. Haitien de l'Enfance","1, 2, 3, 6, 17, 11, 15, 21, 24, 34, 32, 41, 26, 16, 14, 13, 31, 101, 33, 10, 20, 79","DHS","2000",1,15,"2000","2000-07-01","HT","317","Haiti",10159,"Caribbean","59",155,"Completed","317","All Men","Latin America & Caribbean","All Women","","2001-06-01",9595,"3171"
"130","2007-01-01","HT2006DHS",49,"2005-10-01","15","Institut Haitien de L'Enfance","24, 15, 10, 31, 26, 14, 6, 1, 3, 37, 57, 36, 5, 34, 20, 69, 33, 41, 11, 21, 13, 88, 17, 59, 101, 23, 79, 100","DHS","2005-06",1,15,"2006","2006-06-01","HT","339","Haiti",10757,"Caribbean","59",222,"Completed","","All Men","Latin America & Caribbean","All Women","","2007-01-01",9998,"4958"
"131","2013-07-09","HT2012DHS",49,"2012-01-01","15","Institut Haïtien de l’Enfance (IHE - Haitian Childhood Institute)","41, 23, 6, 67, 37, 33, 15, 10, 31, 61, 32, 39, 26, 24, 21, 14, 57, 20, 17, 34, 13, 3, 69, 101, 16, 11, 5, 104, 79","DHS","2012",1,15,"2012","2012-06-01","HT","445","Haiti",14287,"Caribbean","59",368,"Completed","","All Men","Latin America & Caribbean","All Women","","2013-04-01",13181,"9493"
"132","2018-08-21","HT2016DHS",49,"2016-11-01","15","Institut Haitien de l’Enfance (IHE)","85, 24, 21, 91, 16, 41, 10, 43, 70, 67, 11, 6, 1, 23, 118, 80, 31, 79, 32, 26, 92, 104","DHS","2016-17",1,15,"2016","2017-04-01","HT","450","Haiti",14371,"Caribbean","64",503,"Completed","","All Men","Latin America & Caribbean","All Women","","2018-07-01",13405,"9795"
"133","2006-12-01","HN2005DHS",49,"2005-10-01","","Instituto Nacional de Estadistica, (INE)","24, 21, 15, 10, 31, 22, 32, 20, 17, 13, 6, 9, 34, 79, 36, 41, 75, 76, 69, 101, 38, 33, 61, 3","DHS","2005-06",1,15,"2005","2006-05-01","HN","1050","Honduras",19948,"Central America","",265,"Completed","","","Latin America & Caribbean","All Women","","2006-12-01",18683,""
"134","2013-06-25","HN2011DHS",49,"2011-09-01","15","Instituto Nacional de Estadistica (INE)","87, 75, 76, 77, 69, 101, 41, 10, 45, 31, 26, 38, 24, 21, 11, 22, 6, 9, 3, 33, 61, 34, 36, 80, 32, 79","DHS","2011-12",1,15,"2011","2012-07-01","HN","1150","Honduras",22757,"Central America","59",369,"Completed","","All Men","Latin America & Caribbean","All Women","A couples dataset could not be generated since the household line number of the wife/partner (used to create variable MV034 and to link the man with his wife/partner) was not recorded in the Man’s Questionnaire.","2013-05-01",21362,"7120"
"135","1995-08-01","IA1993DHS",49,"1992-04-01","","International Institute for Population Sciences (IIPS)","16, 21, 10, 1, 2, 61, 36, 20, 13, 94, 101, 79","DHS","1992-93",1,13,"1993","1993-09-01","IA","3522","India",89777,"South Asia","",50,"Completed","","","South & Southeast Asia","Ever Married Women","Data collected for women 13-49, indicators calculated for women 15-49","1995-08-01",88562,""
"136","2000-10-01","IA1999DHS",49,"1998-11-01","","International Institute for Population Sciences (IIPS)","16, 14, 15, 21, 5, 10, 20, 13, 1, 9, 94, 41, 48, 6, 101, 3, 33, 45, 61, 38, 17, 34, 36, 79","DHS","1998-99",1,15,"1999","1999-12-01","IA","3165","India",90303,"South Asia","",156,"Completed","","","South & Southeast Asia","Ever Married Women","","2000-10-01",92486,""
"137","2007-09-01","IA2006DHS",49,"2005-11-01","15","International Institute for Population Sciences, Mumbai","33, 3, 34, 36, 94, 45, 59, 41, 63, 38, 24, 21, 23, 15, 10, 31, 22, 14, 11, 20, 17, 13, 5, 6, 69, 101, 104, 79, 57","DHS","2005-06",1,15,"2006","2006-08-01","IA","3850","India",124385,"South Asia","54",264,"Completed","","All Men","South & Southeast Asia","All Women","","2007-09-01",109041,"74369"
