"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyType","SurveyYearLabel","SurveyYear","DHS_CountryCode","FileName","CountryName"
"1945","Stata dataset (.dta)",1631773,"Survey Datasets",232,"CM2004DHS","Couples' Recode","May, 09 2008 15:54:48","DHS","2004","2004","CM","CMCR44dt.zip","Cameroon"
"1946","Flat ASCII data (.dat)",1896336,"Survey Datasets",232,"CM2004DHS","Couples' Recode","May, 09 2008 15:55:56","DHS","2004","2004","CM","CMCR44FL.zip","Cameroon"
"1947","SAS dataset (.sas7bdat) ",2179668,"Survey Datasets",232,"CM2004DHS","Couples' Recode","September, 01 2016 11:58:36","DHS","2004","2004","CM","CMCR44sd.zip","Cameroon"
"1948","SPSS dataset (.sav)",1793094,"Survey Datasets",232,"CM2004DHS","Couples' Recode","May, 09 2008 15:54:47","DHS","2004","2004","CM","CMCR44sv.zip","Cameroon"
"1949","Hierarchical ASCII data (.dat)",54739,"Survey Datasets",232,"CM2004DHS","Height and Weight Scores - WHO Child Growth Standards","April, 21 2010 14:04:28","DHS","2004","2004","CM","CMHW44.ZIP","Cameroon"
"1950","Stata dataset (.dta)",50890,"Survey Datasets",232,"CM2004DHS","Height and Weight Scores - WHO Child Growth Standards","May, 04 2009 11:02:22","DHS","2004","2004","CM","CMHW44DT.ZIP","Cameroon"
"1951","Flat ASCII data (.dat)",56198,"Survey Datasets",232,"CM2004DHS","Height and Weight Scores - WHO Child Growth Standards","May, 04 2009 11:02:22","DHS","2004","2004","CM","CMHW44FL.ZIP","Cameroon"
"1952","Stata dataset (.dta)",3824101,"Survey Datasets",232,"CM2004DHS","Household Recode","May, 09 2008 15:53:23","DHS","2004","2004","CM","CMHR44dt.zip","Cameroon"
"1953","Flat ASCII data (.dat)",3514283,"Survey Datasets",232,"CM2004DHS","Household Recode","May, 09 2008 15:55:23","DHS","2004","2004","CM","CMHR44FL.zip","Cameroon"
"1954","SAS dataset (.sas7bdat) ",5005968,"Survey Datasets",232,"CM2004DHS","Household Recode","September, 01 2016 11:58:39","DHS","2004","2004","CM","CMHR44sd.zip","Cameroon"
"1955","SPSS dataset (.sav)",3581928,"Survey Datasets",232,"CM2004DHS","Household Recode","May, 09 2008 15:53:18","DHS","2004","2004","CM","CMHR44sv.zip","Cameroon"
"1956","SAS dataset (.sas7bdat) ",58062,"Survey Datasets",232,"CM2004DHS","Height and Weight Scores - WHO Child Growth Standards","September, 01 2016 11:58:44","DHS","2004","2004","CM","CMHW44SD.ZIP","Cameroon"
"1957","SPSS dataset (.sav)",56872,"Survey Datasets",232,"CM2004DHS","Height and Weight Scores - WHO Child Growth Standards","May, 04 2009 11:02:22","DHS","2004","2004","CM","CMHW44SV.ZIP","Cameroon"
"1958","Hierarchical ASCII data (.dat)",8296287,"Survey Datasets",232,"CM2004DHS","Individual Recode","May, 09 2008 15:55:30","DHS","2004","2004","CM","CMIR44.zip","Cameroon"
"1959","Stata dataset (.dta)",6561079,"Survey Datasets",232,"CM2004DHS","Individual Recode","May, 09 2008 15:53:49","DHS","2004","2004","CM","CMIR44dt.zip","Cameroon"
"1960","Flat ASCII data (.dat)",7049512,"Survey Datasets",232,"CM2004DHS","Individual Recode","May, 09 2008 15:55:41","DHS","2004","2004","CM","CMIR44FL.zip","Cameroon"
"1961","SAS dataset (.sas7bdat) ",9464360,"Survey Datasets",232,"CM2004DHS","Individual Recode","September, 01 2016 11:58:48","DHS","2004","2004","CM","CMIR44sd.zip","Cameroon"
"1962","SPSS dataset (.sav)",7277127,"Survey Datasets",232,"CM2004DHS","Individual Recode","May, 09 2008 15:53:43","DHS","2004","2004","CM","CMIR44sv.zip","Cameroon"
"1963","Hierarchical ASCII data (.dat)",1317912,"Survey Datasets",232,"CM2004DHS","Men's Recode","May, 09 2008 15:55:53","DHS","2004","2004","CM","CMMR44.zip","Cameroon"
"1964","Stata dataset (.dta)",1192370,"Survey Datasets",232,"CM2004DHS","Men's Recode","May, 09 2008 15:54:43","DHS","2004","2004","CM","CMMR44dt.zip","Cameroon"
"1965","Flat ASCII data (.dat)",1343711,"Survey Datasets",232,"CM2004DHS","Men's Recode","May, 09 2008 15:55:54","DHS","2004","2004","CM","CMMR44FL.zip","Cameroon"
"1966","SAS dataset (.sas7bdat) ",1623397,"Survey Datasets",232,"CM2004DHS","Men's Recode","September, 01 2016 11:58:57","DHS","2004","2004","CM","CMMR44sd.zip","Cameroon"
"1967","SPSS dataset (.sav)",1377025,"Survey Datasets",232,"CM2004DHS","Men's Recode","May, 09 2008 15:54:41","DHS","2004","2004","CM","CMMR44sv.zip","Cameroon"
"1968","Stata dataset (.dta)",2352605,"Survey Datasets",232,"CM2004DHS","Household Member Recode","June, 26 2009 12:04:52","DHS","2004","2004","CM","CMPR45DT.ZIP","Cameroon"
"1969","Flat ASCII data (.dat)",2493373,"Survey Datasets",232,"CM2004DHS","Household Member Recode","June, 26 2009 12:04:54","DHS","2004","2004","CM","CMPR45FL.ZIP","Cameroon"
"1970","SAS dataset (.sas7bdat) ",3626608,"Survey Datasets",232,"CM2004DHS","Household Member Recode","September, 01 2016 11:58:59","DHS","2004","2004","CM","CMPR45SD.ZIP","Cameroon"
"1971","SPSS dataset (.sav)",3143440,"Survey Datasets",232,"CM2004DHS","Household Member Recode","June, 26 2009 12:04:52","DHS","2004","2004","CM","CMPR45SV.ZIP","Cameroon"
"1972","SAS dataset (.sas7bdat) ",3442102,"Survey Datasets",232,"CM2004DHS","Children's Recode","September, 01 2016 11:58:54","DHS","2004","2004","CM","CMKR44sd.zip","Cameroon"
"1973","SPSS dataset (.sav)",2553018,"Survey Datasets",232,"CM2004DHS","Children's Recode","May, 09 2008 15:54:06","DHS","2004","2004","CM","CMKR44sv.zip","Cameroon"
"1974","Flat ASCII data (.dat)",2581324,"Survey Datasets",232,"CM2004DHS","Children's Recode","May, 09 2008 15:55:42","DHS","2004","2004","CM","CMKR44FL.zip","Cameroon"
"1975","Stata dataset (.dta)",2303792,"Survey Datasets",232,"CM2004DHS","Children's Recode","May, 09 2008 15:54:07","DHS","2004","2004","CM","CMKR44dt.zip","Cameroon"
"1976","Hierarchical ASCII data (.dat)",88831,"HIV Datasets",232,"CM2004DHS","HIV Test Results Recode","May, 19 2008 11:40:29","DHS","2004","2004","CM","CMar42.zip","Cameroon"
"1977","Stata dataset (.dta)",76452,"HIV Datasets",232,"CM2004DHS","HIV Test Results Recode","May, 19 2008 11:40:29","DHS","2004","2004","CM","CMar42dt.zip","Cameroon"
"1978","Flat ASCII data (.dat)",90451,"HIV Datasets",232,"CM2004DHS","HIV Test Results Recode","May, 19 2008 11:40:29","DHS","2004","2004","CM","CMar42fl.zip","Cameroon"
"1979","SAS dataset (.sas7bdat) ",91884,"HIV Datasets",232,"CM2004DHS","HIV Test Results Recode","September, 01 2016 13:49:06","DHS","2004","2004","CM","CMar42sd.zip","Cameroon"
"1980","SPSS dataset (.sav)",103409,"HIV Datasets",232,"CM2004DHS","HIV Test Results Recode","May, 19 2008 11:40:30","DHS","2004","2004","CM","CMar42sv.zip","Cameroon"
"1981","Flat ASCII data (.dat)",110184,"GPS Datasets",232,"CM2004DHS","Geographic Data","March, 05 2012 18:26:54","DHS","2004","2004","CM","CMGE42FL.zip","Cameroon"
"1982","Flat ASCII data (.dat)",946153,"GPS Datasets",232,"CM2004DHS","Geospatial Covariates","September, 06 2018 16:09:18","DHS","2004","2004","CM","CMGC42FL.ZIP","Cameroon"
"1983","Flat ASCII data (.dat)",62033,"GPS Datasets",337,"CM2011DHS","Geographic Data","April, 24 2017 10:37:56","DHS","2011","2011","CM","CMGE61FL.zip","Cameroon"
"1984","Hierarchical ASCII data (.dat)",160537,"HIV Datasets",337,"CM2011DHS","HIV Test Results Recode","September, 26 2012 13:23:52","DHS","2011","2011","CM","CMAR61.ZIP","Cameroon"
"1985","Stata dataset (.dta)",123202,"HIV Datasets",337,"CM2011DHS","HIV Test Results Recode","September, 26 2012 13:23:52","DHS","2011","2011","CM","CMAR61DT.ZIP","Cameroon"
"1986","Flat ASCII data (.dat)",162156,"HIV Datasets",337,"CM2011DHS","HIV Test Results Recode","September, 26 2012 13:23:52","DHS","2011","2011","CM","CMAR61FL.ZIP","Cameroon"
"1987","SAS dataset (.sas7bdat) ",160677,"HIV Datasets",337,"CM2011DHS","HIV Test Results Recode","September, 01 2016 13:49:06","DHS","2011","2011","CM","CMAR61SD.ZIP","Cameroon"
"1988","SPSS dataset (.sav)",182700,"HIV Datasets",337,"CM2011DHS","HIV Test Results Recode","September, 26 2012 13:23:51","DHS","2011","2011","CM","CMAR61SV.ZIP","Cameroon"
"1989","Flat ASCII data (.dat)",5639012,"Survey Datasets",337,"CM2011DHS","Births Recode","March, 30 2017 15:18:28","DHS","2011","2011","CM","CMBR61FL.ZIP","Cameroon"
"1990","SAS dataset (.sas7bdat) ",10167578,"Survey Datasets",337,"CM2011DHS","Births Recode","March, 30 2017 15:17:24","DHS","2011","2011","CM","CMBR61SD.ZIP","Cameroon"
"1991","SPSS dataset (.sav)",8127093,"Survey Datasets",337,"CM2011DHS","Births Recode","March, 30 2017 15:16:41","DHS","2011","2011","CM","CMBR61SV.ZIP","Cameroon"
"1992","Flat ASCII data (.dat)",2481760,"Survey Datasets",337,"CM2011DHS","Couples' Recode","March, 30 2017 15:18:42","DHS","2011","2011","CM","CMCR61FL.ZIP","Cameroon"
"1993","SAS dataset (.sas7bdat) ",3185042,"Survey Datasets",337,"CM2011DHS","Couples' Recode","March, 30 2017 15:17:30","DHS","2011","2011","CM","CMCR61SD.ZIP","Cameroon"
"1994","SPSS dataset (.sav)",2387084,"Survey Datasets",337,"CM2011DHS","Couples' Recode","March, 30 2017 15:16:44","DHS","2011","2011","CM","CMCR61SV.ZIP","Cameroon"
"1995","Stata dataset (.dta)",8363190,"Survey Datasets",337,"CM2011DHS","Household Recode","March, 30 2017 15:16:50","DHS","2011","2011","CM","CMHR61DT.ZIP","Cameroon"
"1996","Stata dataset (.dta)",5482690,"Survey Datasets",337,"CM2011DHS","Births Recode","March, 30 2017 15:16:52","DHS","2011","2011","CM","CMBR61DT.ZIP","Cameroon"
"1997","Stata dataset (.dta)",2238561,"Survey Datasets",337,"CM2011DHS","Couples' Recode","March, 30 2017 15:16:55","DHS","2011","2011","CM","CMCR61DT.ZIP","Cameroon"
"1998","Stata dataset (.dta)",3372318,"Survey Datasets",337,"CM2011DHS","Children's Recode","March, 30 2017 15:16:51","DHS","2011","2011","CM","CMKR61DT.ZIP","Cameroon"
"1999","Flat ASCII data (.dat)",3723046,"Survey Datasets",337,"CM2011DHS","Children's Recode","March, 30 2017 15:18:18","DHS","2011","2011","CM","CMKR61FL.ZIP","Cameroon"
"2000","SAS dataset (.sas7bdat) ",5421470,"Survey Datasets",337,"CM2011DHS","Children's Recode","March, 30 2017 15:17:20","DHS","2011","2011","CM","CMKR61SD.ZIP","Cameroon"
"2001","Stata dataset (.dta)",9252175,"Survey Datasets",337,"CM2011DHS","Individual Recode","March, 30 2017 15:16:47","DHS","2011","2011","CM","CMIR61DT.ZIP","Cameroon"
"2002","Flat ASCII data (.dat)",9447675,"Survey Datasets",337,"CM2011DHS","Individual Recode","March, 30 2017 15:17:49","DHS","2011","2011","CM","CMIR61FL.ZIP","Cameroon"
"2003","SAS dataset (.sas7bdat) ",14103136,"Survey Datasets",337,"CM2011DHS","Individual Recode","March, 30 2017 15:17:03","DHS","2011","2011","CM","CMIR61SD.ZIP","Cameroon"
"2004","SPSS dataset (.sav)",10099454,"Survey Datasets",337,"CM2011DHS","Individual Recode","March, 30 2017 15:16:36","DHS","2011","2011","CM","CMIR61SV.ZIP","Cameroon"
"2005","Flat ASCII data (.dat)",7219718,"Survey Datasets",337,"CM2011DHS","Household Recode","March, 30 2017 15:18:14","DHS","2011","2011","CM","CMHR61FL.ZIP","Cameroon"
"2006","SAS dataset (.sas7bdat) ",12384647,"Survey Datasets",337,"CM2011DHS","Household Recode","March, 30 2017 15:17:18","DHS","2011","2011","CM","CMHR61SD.ZIP","Cameroon"
"2007","SPSS dataset (.sav)",7250751,"Survey Datasets",337,"CM2011DHS","Household Recode","March, 30 2017 15:16:39","DHS","2011","2011","CM","CMHR61SV.ZIP","Cameroon"
"2008","Hierarchical ASCII data (.dat)",12623771,"Survey Datasets",337,"CM2011DHS","Individual Recode","March, 30 2017 15:17:32","DHS","2011","2011","CM","CMIR61.ZIP","Cameroon"
"2009","Flat ASCII data (.dat)",1023468,"GPS Datasets",337,"CM2011DHS","Geospatial Covariates","September, 06 2018 16:09:19","DHS","2011","2011","CM","CMGC62FL.ZIP","Cameroon"
"2010","SPSS dataset (.sav)",4349014,"Survey Datasets",337,"CM2011DHS","Children's Recode","March, 30 2017 15:16:40","DHS","2011","2011","CM","CMKR61SV.ZIP","Cameroon"
"2011","Hierarchical ASCII data (.dat)",1681624,"Survey Datasets",337,"CM2011DHS","Men's Recode","March, 30 2017 15:17:33","DHS","2011","2011","CM","CMMR61.ZIP","Cameroon"
"2012","Stata dataset (.dta)",1407649,"Survey Datasets",337,"CM2011DHS","Men's Recode","March, 30 2017 15:16:54","DHS","2011","2011","CM","CMMR61DT.ZIP","Cameroon"
"2013","Flat ASCII data (.dat)",1526203,"Survey Datasets",337,"CM2011DHS","Men's Recode","March, 30 2017 15:18:40","DHS","2011","2011","CM","CMMR61FL.ZIP","Cameroon"
"2014","SAS dataset (.sas7bdat) ",2165029,"Survey Datasets",337,"CM2011DHS","Men's Recode","March, 30 2017 15:17:29","DHS","2011","2011","CM","CMMR61SD.ZIP","Cameroon"
"2015","SPSS dataset (.sav)",1666935,"Survey Datasets",337,"CM2011DHS","Men's Recode","March, 30 2017 15:16:44","DHS","2011","2011","CM","CMMR61SV.ZIP","Cameroon"
"2016","Stata dataset (.dta)",4550607,"Survey Datasets",337,"CM2011DHS","Household Member Recode","March, 30 2017 15:16:54","DHS","2011","2011","CM","CMPR61DT.ZIP","Cameroon"
"2017","Flat ASCII data (.dat)",4990800,"Survey Datasets",337,"CM2011DHS","Household Member Recode","March, 30 2017 15:18:38","DHS","2011","2011","CM","CMPR61FL.ZIP","Cameroon"
"2018","SAS dataset (.sas7bdat) ",9896905,"Survey Datasets",337,"CM2011DHS","Household Member Recode","March, 30 2017 15:17:27","DHS","2011","2011","CM","CMPR61SD.ZIP","Cameroon"
"2019","SPSS dataset (.sav)",4875549,"Survey Datasets",337,"CM2011DHS","Household Member Recode","March, 30 2017 15:16:43","DHS","2011","2011","CM","CMPR61SV.ZIP","Cameroon"
"2020","Hierarchical ASCII data (.dat)",10411923,"Survey Datasets",511,"CM2018DHS","Individual Recode","June, 09 2020 14:59:49","DHS","2018","2018","CM","CMIR71.ZIP","Cameroon"
"2021","Stata dataset (.dta)",8285146,"Survey Datasets",511,"CM2018DHS","Individual Recode","June, 09 2020 14:59:20","DHS","2018","2018","CM","CMIR71DT.ZIP","Cameroon"
"2022","Flat ASCII data (.dat)",7842476,"Survey Datasets",511,"CM2018DHS","Individual Recode","June, 09 2020 14:59:53","DHS","2018","2018","CM","CMIR71FL.ZIP","Cameroon"
"2023","SAS dataset (.sas7bdat) ",12269169,"Survey Datasets",511,"CM2018DHS","Individual Recode","June, 09 2020 14:59:32","DHS","2018","2018","CM","CMIR71SD.ZIP","Cameroon"
"2024","SPSS dataset (.sav)",8838740,"Survey Datasets",511,"CM2018DHS","Individual Recode","June, 09 2020 14:59:10","DHS","2018","2018","CM","CMIR71SV.ZIP","Cameroon"
"2025","Stata dataset (.dta)",6055,"Survey Datasets",511,"CM2018DHS","Fieldworker Questionnaire","June, 02 2020 09:53:43","DHS","2018","2018","CM","CMFW71DT.ZIP","Cameroon"
"2026","Flat ASCII data (.dat)",9373,"Survey Datasets",511,"CM2018DHS","Fieldworker Questionnaire","June, 02 2020 09:53:44","DHS","2018","2018","CM","CMFW71FL.ZIP","Cameroon"
"2027","SAS dataset (.sas7bdat) ",6483,"Survey Datasets",511,"CM2018DHS","Fieldworker Questionnaire","June, 02 2020 09:53:43","DHS","2018","2018","CM","CMFW71SD.ZIP","Cameroon"
"2028","SPSS dataset (.sav)",6543,"Survey Datasets",511,"CM2018DHS","Fieldworker Questionnaire","June, 02 2020 09:53:42","DHS","2018","2018","CM","CMFW71SV.ZIP","Cameroon"
"2029","Stata dataset (.dta)",5910973,"Survey Datasets",511,"CM2018DHS","Household Recode","June, 09 2020 14:59:22","DHS","2018","2018","CM","CMHR71DT.ZIP","Cameroon"
"2030","Flat ASCII data (.dat)",5857714,"Survey Datasets",511,"CM2018DHS","Household Recode","June, 09 2020 14:59:56","DHS","2018","2018","CM","CMHR71FL.ZIP","Cameroon"
"2031","SAS dataset (.sas7bdat) ",8538225,"Survey Datasets",511,"CM2018DHS","Household Recode","June, 09 2020 14:59:35","DHS","2018","2018","CM","CMHR71SD.ZIP","Cameroon"
"2032","SPSS dataset (.sav)",5917252,"Survey Datasets",511,"CM2018DHS","Household Recode","June, 09 2020 14:59:12","DHS","2018","2018","CM","CMHR71SV.ZIP","Cameroon"
"2033","Stata dataset (.dta)",2779029,"Survey Datasets",511,"CM2018DHS","Children's Recode","June, 09 2020 14:59:23","DHS","2018","2018","CM","CMKR71DT.ZIP","Cameroon"
"2034","SAS dataset (.sas7bdat) ",2993836,"Survey Datasets",511,"CM2018DHS","Couples' Recode","June, 09 2020 14:59:46","DHS","2018","2018","CM","CMCR71SD.ZIP","Cameroon"
"2035","SPSS dataset (.sav)",2586256,"Survey Datasets",511,"CM2018DHS","Couples' Recode","June, 09 2020 14:59:18","DHS","2018","2018","CM","CMCR71SV.ZIP","Cameroon"
"2036","Hierarchical ASCII data (.dat)",5519,"Survey Datasets",511,"CM2018DHS","Fieldworker Questionnaire","June, 02 2020 09:53:43","DHS","2018","2018","CM","CMFW71.ZIP","Cameroon"
"2037","Flat ASCII data (.dat)",50024,"GPS Datasets",511,"CM2018DHS","Geographic Data","May, 26 2020 16:26:21","DHS","2018","2018","CM","CMGE71FL.ZIP","Cameroon"
"2038","Hierarchical ASCII data (.dat)",139039,"HIV Datasets",511,"CM2018DHS","HIV Test Results Recode","May, 28 2020 10:31:38","DHS","2018","2018","CM","CMAR71.ZIP","Cameroon"
"2039","Stata dataset (.dta)",135695,"HIV Datasets",511,"CM2018DHS","HIV Test Results Recode","April, 30 2020 16:05:25","DHS","2018","2018","CM","CMAR71DT.ZIP","Cameroon"
"2040","Flat ASCII data (.dat)",165305,"HIV Datasets",511,"CM2018DHS","HIV Test Results Recode","April, 30 2020 16:05:25","DHS","2018","2018","CM","CMAR71FL.ZIP","Cameroon"
"2041","SAS dataset (.sas7bdat) ",174107,"HIV Datasets",511,"CM2018DHS","HIV Test Results Recode","April, 30 2020 16:05:25","DHS","2018","2018","CM","CMAR71SD.ZIP","Cameroon"
"2042","SPSS dataset (.sav)",203034,"HIV Datasets",511,"CM2018DHS","HIV Test Results Recode","April, 30 2020 16:05:25","DHS","2018","2018","CM","CMAR71SV.ZIP","Cameroon"
"2043","Stata dataset (.dta)",4659567,"Survey Datasets",511,"CM2018DHS","Births Recode","June, 09 2020 14:59:24","DHS","2018","2018","CM","CMBR71DT.ZIP","Cameroon"
"2044","Flat ASCII data (.dat)",4603296,"Survey Datasets",511,"CM2018DHS","Births Recode","June, 09 2020 14:59:59","DHS","2018","2018","CM","CMBR71FL.ZIP","Cameroon"
"2045","SAS dataset (.sas7bdat) ",6961036,"Survey Datasets",511,"CM2018DHS","Births Recode","June, 09 2020 14:59:41","DHS","2018","2018","CM","CMBR71SD.ZIP","Cameroon"
"2046","SPSS dataset (.sav)",7099565,"Survey Datasets",511,"CM2018DHS","Births Recode","June, 09 2020 14:59:15","DHS","2018","2018","CM","CMBR71SV.ZIP","Cameroon"
"2047","Stata dataset (.dta)",2328315,"Survey Datasets",511,"CM2018DHS","Couples' Recode","June, 09 2020 14:59:27","DHS","2018","2018","CM","CMCR71DT.ZIP","Cameroon"
"2048","Flat ASCII data (.dat)",2457973,"Survey Datasets",511,"CM2018DHS","Couples' Recode","June, 09 2020 15:00:03","DHS","2018","2018","CM","CMCR71FL.ZIP","Cameroon"
"2049","Flat ASCII data (.dat)",924195,"GPS Datasets",511,"CM2018DHS","Geospatial Covariates","July, 13 2020 17:00:22","DHS","2018","2018","CM","CMGC72FL.ZIP","Cameroon"
"2050","Flat ASCII data (.dat)",2881026,"Survey Datasets",511,"CM2018DHS","Children's Recode","June, 09 2020 14:59:57","DHS","2018","2018","CM","CMKR71FL.ZIP","Cameroon"
"2051","SAS dataset (.sas7bdat) ",3789329,"Survey Datasets",511,"CM2018DHS","Children's Recode","June, 09 2020 14:59:37","DHS","2018","2018","CM","CMKR71SD.ZIP","Cameroon"
"2052","SPSS dataset (.sav)",3632856,"Survey Datasets",511,"CM2018DHS","Children's Recode","June, 09 2020 14:59:13","DHS","2018","2018","CM","CMKR71SV.ZIP","Cameroon"
"2053","Hierarchical ASCII data (.dat)",1693763,"Survey Datasets",511,"CM2018DHS","Men's Recode","June, 09 2020 14:59:49","DHS","2018","2018","CM","CMMR71.ZIP","Cameroon"
"2054","Stata dataset (.dta)",1496583,"Survey Datasets",511,"CM2018DHS","Men's Recode","June, 09 2020 14:59:26","DHS","2018","2018","CM","CMMR71DT.ZIP","Cameroon"
"2055","Flat ASCII data (.dat)",1547166,"Survey Datasets",511,"CM2018DHS","Men's Recode","June, 09 2020 15:00:02","DHS","2018","2018","CM","CMMR71FL.ZIP","Cameroon"
"2056","SAS dataset (.sas7bdat) ",1946351,"Survey Datasets",511,"CM2018DHS","Men's Recode","June, 09 2020 14:59:44","DHS","2018","2018","CM","CMMR71SD.ZIP","Cameroon"
"2057","SPSS dataset (.sav)",1671536,"Survey Datasets",511,"CM2018DHS","Men's Recode","June, 09 2020 14:59:17","DHS","2018","2018","CM","CMMR71SV.ZIP","Cameroon"
"2058","Stata dataset (.dta)",3740257,"Survey Datasets",511,"CM2018DHS","Household Member Recode","June, 09 2020 14:59:25","DHS","2018","2018","CM","CMPR71DT.ZIP","Cameroon"
"2059","Flat ASCII data (.dat)",3959204,"Survey Datasets",511,"CM2018DHS","Household Member Recode","June, 09 2020 15:00:01","DHS","2018","2018","CM","CMPR71FL.ZIP","Cameroon"
"2060","SAS dataset (.sas7bdat) ",5304167,"Survey Datasets",511,"CM2018DHS","Household Member Recode","June, 09 2020 14:59:44","DHS","2018","2018","CM","CMPR71SD.ZIP","Cameroon"
"2061","SPSS dataset (.sav)",6143152,"Survey Datasets",511,"CM2018DHS","Household Member Recode","June, 09 2020 14:59:16","DHS","2018","2018","CM","CMPR71SV.ZIP","Cameroon"
"2062","Hierarchical ASCII data (.dat)",7835,"Survey Datasets",563,"CM2022MIS","Fieldworker Questionnaire","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMFW81.ZIP","Cameroon"
"2063","Stata dataset (.dta)",8606,"Survey Datasets",563,"CM2022MIS","Fieldworker Questionnaire","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMFW81DT.ZIP","Cameroon"
"2064","Flat ASCII data (.dat)",12787,"Survey Datasets",563,"CM2022MIS","Fieldworker Questionnaire","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMFW81FL.ZIP","Cameroon"
"2065","SAS dataset (.sas7bdat) ",8833,"Survey Datasets",563,"CM2022MIS","Fieldworker Questionnaire","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMFW81SD.ZIP","Cameroon"
"2066","SPSS dataset (.sav)",9410,"Survey Datasets",563,"CM2022MIS","Fieldworker Questionnaire","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMFW81SV.ZIP","Cameroon"
"2067","Stata dataset (.dta)",1635982,"Survey Datasets",563,"CM2022MIS","Household Recode","October, 11 2023 13:59:08","MIS","2022","2022","CM","CMHR81DT.ZIP","Cameroon"
"2068","Flat ASCII data (.dat)",1781243,"Survey Datasets",563,"CM2022MIS","Household Recode","October, 11 2023 13:59:10","MIS","2022","2022","CM","CMHR81FL.ZIP","Cameroon"
"2069","SAS dataset (.sas7bdat) ",2247893,"Survey Datasets",563,"CM2022MIS","Household Recode","October, 11 2023 13:59:09","MIS","2022","2022","CM","CMHR81SD.ZIP","Cameroon"
"2070","SPSS dataset (.sav)",1759410,"Survey Datasets",563,"CM2022MIS","Household Recode","October, 11 2023 13:59:06","MIS","2022","2022","CM","CMHR81SV.ZIP","Cameroon"
"2071","Hierarchical ASCII data (.dat)",2675478,"Survey Datasets",563,"CM2022MIS","Individual Recode","October, 11 2023 13:59:22","MIS","2022","2022","CM","CMIR81.ZIP","Cameroon"
"2072","Stata dataset (.dta)",1449424,"Survey Datasets",563,"CM2022MIS","Individual Recode","October, 11 2023 13:59:17","MIS","2022","2022","CM","CMIR81DT.ZIP","Cameroon"
"2073","Flat ASCII data (.dat)",1639593,"Survey Datasets",563,"CM2022MIS","Individual Recode","October, 11 2023 13:59:20","MIS","2022","2022","CM","CMIR81FL.ZIP","Cameroon"
"2074","SAS dataset (.sas7bdat) ",2031856,"Survey Datasets",563,"CM2022MIS","Individual Recode","October, 11 2023 13:59:19","MIS","2022","2022","CM","CMIR81SD.ZIP","Cameroon"
"2075","SPSS dataset (.sav)",1720515,"Survey Datasets",563,"CM2022MIS","Individual Recode","October, 11 2023 13:59:16","MIS","2022","2022","CM","CMIR81SV.ZIP","Cameroon"
"2076","Stata dataset (.dta)",710038,"Survey Datasets",563,"CM2022MIS","Children's Recode","October, 11 2023 13:59:23","MIS","2022","2022","CM","CMKR81DT.ZIP","Cameroon"
"2077","Flat ASCII data (.dat)",799497,"Survey Datasets",563,"CM2022MIS","Children's Recode","October, 11 2023 13:59:24","MIS","2022","2022","CM","CMKR81FL.ZIP","Cameroon"
"2078","SAS dataset (.sas7bdat) ",901173,"Survey Datasets",563,"CM2022MIS","Children's Recode","October, 11 2023 13:59:23","MIS","2022","2022","CM","CMKR81SD.ZIP","Cameroon"
"2079","SPSS dataset (.sav)",839621,"Survey Datasets",563,"CM2022MIS","Children's Recode","October, 11 2023 13:59:22","MIS","2022","2022","CM","CMKR81SV.ZIP","Cameroon"
"2080","Stata dataset (.dta)",1362819,"Survey Datasets",563,"CM2022MIS","Household Member Recode","October, 11 2023 13:59:12","MIS","2022","2022","CM","CMPR81DT.ZIP","Cameroon"
"2081","Flat ASCII data (.dat)",1518344,"Survey Datasets",563,"CM2022MIS","Household Member Recode","October, 11 2023 13:59:15","MIS","2022","2022","CM","CMPR81FL.ZIP","Cameroon"
"2082","SAS dataset (.sas7bdat) ",1792666,"Survey Datasets",563,"CM2022MIS","Household Member Recode","October, 11 2023 13:59:14","MIS","2022","2022","CM","CMPR81SD.ZIP","Cameroon"
"2083","SPSS dataset (.sav)",1484903,"Survey Datasets",563,"CM2022MIS","Household Member Recode","October, 11 2023 13:59:11","MIS","2022","2022","CM","CMPR81SV.ZIP","Cameroon"
"2084","Flat ASCII data (.dat)",706340,"GPS Datasets",563,"CM2022MIS","Geospatial Covariates","July, 21 2023 08:38:51","MIS","2022","2022","CM","CMGC81FL.ZIP","Cameroon"
"2085","Flat ASCII data (.dat)",49445,"GPS Datasets",563,"CM2022MIS","Geographic Data","July, 20 2023 15:18:44","MIS","2022","2022","CM","CMGE81FL.ZIP","Cameroon"
"2086","Flat ASCII data (.dat)",706028,"GPS Datasets",66,"CF1994DHS","Geospatial Covariates","September, 06 2018 16:09:17","DHS","1994-95","1994","CF","CFGC32FL.ZIP","Central African Republic"
"2087","Flat ASCII data (.dat)",20042,"GPS Datasets",66,"CF1994DHS","Geographic Data","March, 05 2012 18:26:54","DHS","1994-95","1994","CF","CFGE33FL.zip","Central African Republic"
